date,pax_count
2005-07-31,3225769
2005-08-31,3195866
2005-09-30,2740553
2005-10-31,2770715
2005-11-30,2617333
2005-12-31,2671797
2006-01-31,2448889
2006-02-28,2223024
2006-03-31,2708778
2006-04-30,2773293
2006-05-31,2829000
2006-06-30,3071396
2006-07-31,3227605
2006-08-31,3143839
2006-09-30,2720100
2006-10-31,2834959
2006-11-30,2653887
2006-12-31,2698200
2007-01-31,2507430
2007-02-28,2304990
2007-03-31,2820085
2007-04-30,2869247
2007-05-31,3056934
2007-06-30,3263621
2007-07-31,3382382
2007-08-31,3436417
2007-09-30,2957530
2007-10-31,3129309
2007-11-30,2922500
2007-12-31,2903637
2008-01-31,2670053
2008-02-29,2595676
2008-03-31,3127387
2008-04-30,3029021
2008-05-31,3305954
2008-06-30,3453751
2008-07-31,3603946
2008-08-31,3612297
2008-09-30,3004720
2008-10-31,3124451
2008-11-30,2744485
2008-12-31,2962937
2009-01-31,2644539
2009-02-28,2359800
2009-03-31,2925918
2009-04-30,3024973
2009-05-31,3177100
2009-06-30,3419595
2009-07-31,3649702
2009-08-31,3650668
2009-09-30,3191526
2009-10-31,3249428
2009-11-30,2971484
2009-12-31,3074209
2010-01-31,2785466
2010-02-28,2515361
2010-03-31,3105958
2010-04-30,3139059
2010-05-31,3380355
2010-06-30,3612886
2010-07-31,3765824
2010-08-31,3771842
2010-09-30,3356365
2010-10-31,3490100
2010-11-30,3163659
2010-12-31,3167124
2011-01-31,2883810
2011-02-28,2610667
2011-03-31,3129205
2011-04-30,3200527
2011-05-31,3547804
2011-06-30,3766323
2011-07-31,3935589
2011-08-31,3917884
2011-09-30,3564970
2011-10-31,3602455
2011-11-30,3326859
2011-12-31,3441693
2012-01-31,3211600
2012-02-29,2998119
2012-03-31,3472440
2012-04-30,3563007
2012-05-31,3820570
2012-06-30,4107195
2012-07-31,4284443
2012-08-31,4356216
2012-09-30,3819379
2012-10-31,3844987
2012-11-30,3478890
2012-12-31,3443039
2013-01-31,3204637
2013-02-28,2966477
2013-03-31,3593364
2013-04-30,3604104
2013-05-31,3933016
2013-06-30,4146797
2013-07-31,4176486
2013-08-31,4347059
2013-09-30,3781168
2013-10-31,3910790
2013-11-30,3466878
2013-12-31,3814984
2014-01-31,3432625
2014-02-28,3078405
2014-03-31,3765504
2014-04-30,3881893
2014-05-31,4147096
2014-06-30,4321833
2014-07-31,4499221
2014-08-31,4524918
2014-09-30,3919072
2014-10-31,4059443
2014-11-30,3628786
2014-12-31,3855835
2015-01-31,3550084
2015-02-28,3248144
2015-03-31,4001521
2015-04-30,4021677
2015-05-31,4361140
2015-06-30,4558511
2015-07-31,4801148
2015-08-31,4796653
2015-09-30,4201394
2015-10-31,4374749
2015-11-30,4013814
2015-12-31,4129052
2016-01-31,3748529
2016-02-29,3543639
2016-03-31,4137679
2016-04-30,4172512
2016-05-31,4573996
2016-06-30,4922125
2016-07-31,5168724
2016-08-31,5110638
2016-09-30,4543759
2016-10-31,4571997
2016-11-30,4266481
2016-12-31,4343369
2017-01-31,3897685
2017-02-28,3481405
2017-03-31,4335287
2017-04-30,4425920
2017-05-31,4698067
2017-06-30,5134110
2017-07-31,5496516
2017-08-31,5516837
2017-09-30,4736005
2017-10-31,4868674
2017-11-30,4572702
2017-12-31,4660504
2018-01-31,4190367
2018-02-28,3882181
2018-03-31,4674035
2018-04-30,4713183
2018-05-31,5025595
2018-06-30,5427144
2018-07-31,5692572
2018-08-31,5545859
2018-09-30,4649100
2018-10-31,4861782
2018-11-30,4508606
2018-12-31,4576449
2019-01-31,4156821
2019-02-28,3752763
2019-03-31,4599189
2019-04-30,4692941
2019-05-31,5008001
2019-06-30,5466688
2019-07-31,5612312
2019-08-31,5742437
2019-09-30,4471408
2019-10-31,4824559
2019-11-30,4370463
2019-12-31,4720992
2020-01-31,4241751
2020-02-29,3742224
2020-03-31,1885466
2020-04-30,138817
2020-05-31,286570
2020-06-30,555119
2020-07-31,765274
2020-08-31,852578
2020-09-30,905992
2020-10-31,1073882
2020-11-30,1052317
2020-12-31,918723
